system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,.geo
000000000000000007aa_0,4060.5,3238.5,1948.0,2392.0,2725.0,4551.5,0.25101355,15.9,-19.993293935495036,-12.169111162163496,0.608659643649769,7.82418277333154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.739754314963031,50.7167699004705]}"
000000000000000007ae_0,3305.0,2635.5,1545.0,1932.0,2200.0,4350.5,0.32829556,10.3,-19.035187019024576,-10.704902118609771,0.5623744126028726,8.330284900414805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.933520921747611,50.91646538813027]}"
000000000000000007f5_0,3134.0,2312.0,1574.0,1852.0,1764.0,4520.0,0.43857417,15.4,-17.299504030441703,-10.664282634037622,0.6164501950617676,6.635221396404081,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.689736450764979,54.325212565250204]}"
00000000000000000819_0,3707.0,3179.0,1760.0,1980.0,2036.0,3620.0,0.28005657,16.2,-22.419795616225457,-14.425065028019969,0.6434075169525804,7.994730588205488,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.869480190553592,52.53603801386936]}"
0000000000000000085c_0,4037.5,3673.0,1644.0,1933.0,2097.0,3300.0,0.22290161,22.1,-19.6105623971929,-11.523097235564371,0.5875964698092399,8.08746516162853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.211181027505253,52.57852832680821]}"
0000000000000000087a_0,3266.0,2567.0,1803.0,2018.0,2194.0,4123.0,0.3053665,25,-20.29738470460463,-13.82316113414614,0.6810316370960955,6.474223570458491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.073653531788406,52.43380973453655]}"
000000000000000008b8_0,3131.0,2767.0,1725.0,1996.0,2128.0,4028.0,0.30864197,10.4,-20.816456563577415,-13.08044151933218,0.6283702261901312,7.736015044245235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.995774170937095,51.97773506478907]}"
000000000000000008c4_0,3356.0,2930.0,1660.0,1939.0,2150.0,3164.0,0.19081672,20.4,-19.90607777483272,-12.767013916565702,0.6413626059829353,7.1390638582670185,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.917436503880021,51.37020443813904]}"
0000000000000000096a_0,3148.0,2688.0,1597.0,1792.0,1888.0,3898.0,0.34739026,20.1,-20.96532164743258,-14.544386708883383,0.693735443389417,6.420934938549198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.779828325198464,54.118330555317485]}"
00000000000000000986_0,2797.5,2111.0,1695.0,2000.0,1997.0,4234.0,0.35901138,29.8,-17.316055884347044,-11.028121879313531,0.6368726200105689,6.287934005033513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.596935907633581,50.62271629022319]}"
0000000000000000075a_0,2830.5,1996.5,1261.5,1443.0,1325.0,3455.0,0.4456067,14.7,-17.922579045300882,-12.566841669848163,0.7011737338741469,5.355737375452719,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.721446980294397,52.92177459687028]}"
0000000000000000077c_0,3679.5,2993.5,1806.0,2089.0,2266.0,3953.5,0.27132407,18,-18.460467299987496,-11.572882081264474,0.6269008196380984,6.8875852187230215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.938574358747937,53.21193043364089]}"
00000000000000000786_0,3158.0,2351.0,1427.0,1655.0,1631.5,3595.5,0.37574133,12.2,-18.534449417088922,-12.606678051114855,0.680175481203741,5.927771365974067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.09748633250868,52.99067537916225]}"
0000000000000000080d_0,3659.5,2724.0,1513.0,1749.0,1789.0,3954.5,0.3770349,29.9,-18.53732489548459,-12.480744691325398,0.6732764712110925,6.056580204159193,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.548871465651334,52.82556502994108]}"
00000000000000000844_0,3376.0,2510.0,1457.0,1731.0,1763.0,4626.5,0.44815713,252.2,-19.9668288462972,-13.712318492888961,0.686754947340167,6.254510353408239,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.412682294296964,53.47235203450713]}"
00000000000000000855_0,3800.0,3198.0,1750.0,2138.0,2160.0,3867.0,0.28322548,10.1,-20.74146448845965,-13.906644106648901,0.6704755160556009,6.834820381810747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.935686026993201,52.87703849572113]}"
0000000000000000085a_0,3630.0,3076.0,1586.0,1776.5,1883.5,3052.0,0.23675413,20.2,-18.191829099236127,-8.330861610874244,0.4579452437371488,9.860967488361883,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.142549739798521,52.27121466811092]}"
00000000000000000898_0,2547.0,2064.5,1380.0,1539.0,1500.0,2677.0,0.2817812,18.9,-17.457101859747823,-10.527908178322853,0.6030730795354903,6.9291936814249695,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.854729522766626,51.778219240186125]}"
000000000000000008a3_0,3153.5,2352.5,1461.0,1763.0,1643.0,4102.0,0.42802438,14.9,-17.772828026997793,-11.327761113474363,0.6373640197422121,6.44506691352343,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.488940113355008,51.847389517063334]}"
000000000000000008ab_0,3273.0,2544.0,1764.0,1968.0,2038.0,3226.0,0.2256839,39.1,-20.097109017406577,-11.347422316006803,0.5646295845924175,8.749686701399774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.986966106870871,51.749113824980654]}"
000000000000000006a0_0,3381.5,2442.5,1534.0,1857.0,1771.0,4198.0,0.40660077,49.9,-17.523032662959693,-11.59833231389629,0.6618906976309485,5.924700349063404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.014189634261545,48.41708277312453]}"
000000000000000008d5_0,3140.0,2408.0,1462.0,1692.0,1734.0,3562.0,0.34516618,12.9,-17.590646257036052,-10.770614010660875,0.6122921155527618,6.8200322463751775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.814938729961983,49.89346394257496]}"
0000000000000000246c_0,4057.0,2854.5,1456.0,1670.5,1705.0,4359.0,0.4376649,43.9,-20.196027753217024,-15.509280458366405,0.7679371729866995,4.686747294850619,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.927228140476923,51.15460876995036]}"
000000000000000008b0_0,3137.0,2310.0,1531.0,1822.0,1788.0,4595.0,0.43976188,82.8,-18.198655818066744,-11.034894673909651,0.6063576774145453,7.1637611441570925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.350244807768807,52.11436881950365]}"
00000000000000000796_0,3096.0,2317.0,1467.0,1835.0,1816.0,3974.0,0.37271157,14.9,-18.92935136949571,-11.942444493499565,0.6308956001918051,6.986906875996144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.818985723022372,49.818454616350984]}"
00000000000000000774_0,3859.0,2970.5,1583.5,1812.5,1884.5,3290.0,0.27162045,8.9,-23.28363096436646,-16.14961569947284,0.6936038337056794,7.13401526489362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.637369243982661,52.12389096151532]}"
00000000000000000683_0,4965.5,4079.0,2283.0,2795.0,3574.0,4596.0,0.1250918,14.2,-20.22750082366276,-11.92340032939123,0.589464829755086,8.304100494271529,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.191067913704678,49.17418289458046]}"
00000000000000000685_0,5179.5,4020.5,2272.0,2736.0,3390.0,4480.0,0.13850063,20.2,-21.548413384932097,-13.070422663129623,0.6065607907944267,8.477990721802474,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.464245591605424,49.26572122203224]}"
00000000000000000686_0,3685.5,2679.5,1791.5,2120.0,2647.0,4672.0,0.27667713,15.9,-19.638502085823696,-12.739581112279541,0.6487043185170305,6.898920973544154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.458855699900708,49.75135046462725]}"
0000000000000000068b_0,3652.0,2743.5,1862.0,2218.0,2666.0,3989.0,0.1987979,29.1,-19.830562264520893,-12.291193171793784,0.6198106240176615,7.539369092727108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.931189876290752,49.33893391768798]}"
000000000000000006a3_0,3583.0,2720.5,1809.0,2243.0,2525.0,4753.0,0.30612805,25.7,-17.37400094231225,-11.612196246514497,0.6683662724015639,5.761804695797753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.07707170414991,47.93172302511475]}"
000000000000000006a4_0,3120.0,2229.0,1561.0,1896.0,1916.0,4484.0,0.40125,60,-17.952709305501322,-11.601526122765492,0.6462270360056679,6.351183182735831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.185767853528374,47.82455401171929]}"
000000000000000006c1_0,4448.0,3444.0,2305.0,2823.0,3208.0,5116.5,0.22926302,13,-20.543335771755217,-11.12658982828143,0.541615536634476,9.416745943473787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.34801274240406,48.82716370032509]}"
000000000000000006ca_0,4564.0,3701.0,1886.5,2229.0,2781.0,4488.0,0.23483285,52.1,-19.360646874969266,-11.579351575265484,0.598087018995013,7.781295299703782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.728449265228678,48.80389733446639]}"
000000000000000006e8_0,2823.0,2091.0,1668.0,2138.0,2036.0,4533.0,0.38011873,29.8,-19.46478035259102,-10.641432173473317,0.5467018882674831,8.823348179117703,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.10996834067609,48.68388241250803]}"
000000000000000006fe_0,3839.0,2858.0,1658.0,1927.0,2064.0,3800.0,0.29604366,14.4,-20.641520973290852,-13.61276803456555,0.6594847372041927,7.028752938725303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.728543671038942,49.161875975188025]}"
00000000000000000703_0,3368.5,2763.5,1705.0,1895.0,2108.0,3023.0,0.17832781,20.3,-18.76379108774705,-12.211995537918652,0.6508277288321127,6.5517955498284,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.154515630204717,49.87262302798339]}"
00000000000000000712_0,4423.5,3474.5,2169.5,2747.0,3236.0,4439.5,0.1567976,16.3,-21.37737464922256,-13.332490649274675,0.6236729658363144,8.044883999947885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.136728987579149,49.117319537095696]}"
00000000000000000754_0,3874.5,3047.0,1649.5,1951.0,2007.0,4314.0,0.3649739,9.5,-23.419996032614065,-13.4324622143152,0.5735467331253817,9.987533818298866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.54205341805573,52.90776087843801]}"
